timestamp,stage,purpose,tool_or_model,units,cost_usd,notes
2026-04-30T23:20:14+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=482;completion=328;total=810,0.000130,accepted=0;rejected=1;template_family_id=discovery_call_grounded_send;variant=1;status=rejected;reason=missing_required_cta
2026-04-30T23:20:18+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=519;completion=256;total=775,0.000154,accepted=0;rejected=1;template_family_id=review_bench_unknown;variant=1;status=rejected;reason=unsupported_claims:bench fit
2026-04-30T23:20:24+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=527;completion=669;total=1196,0.001831,accepted=1;rejected=0;template_family_id=outreach_context_repair;variant=1;status=accepted
2026-04-30T23:25:04+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=520;completion=347;total=867,0.001024,accepted=1;rejected=0;template_family_id=send_hiring_spike_grounded;variant=1;status=accepted
2026-04-30T23:25:15+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=519;completion=321;total=840,0.000437,accepted=1;rejected=0;template_family_id=send_grounded_but_generic;variant=1;status=accepted
2026-04-30T23:25:22+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=521;completion=426;total=947,0.000222,accepted=0;rejected=1;template_family_id=send_market_entry_specific;variant=1;status=rejected;reason=evidence_too_vague
2026-04-30T23:25:28+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=531;completion=373;total=904,0.001092,accepted=0;rejected=1;template_family_id=send_overblock_risk_clear;variant=1;status=rejected;reason=evidence_too_vague
2026-04-30T23:25:39+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=514;completion=420;total=934,0.000555,accepted=0;rejected=1;template_family_id=exploratory_ops_strain;variant=1;status=rejected;reason=missing_required_cta
2026-04-30T23:25:42+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=525;completion=330;total=855,0.000185,accepted=0;rejected=1;template_family_id=exploratory_ai_hint;variant=1;status=rejected;reason=evidence_too_vague
2026-04-30T23:25:48+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=525;completion=596;total=1121,0.001648,accepted=1;rejected=0;template_family_id=exploratory_sparse_signal;variant=1;status=accepted
2026-04-30T23:25:53+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=485;completion=10;total=495,0.000041,accepted=0;rejected=1;template_family_id=objection_budget_pressure;variant=1;status=rejected;reason=company_name
2026-04-30T23:25:57+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=513;completion=220;total=733,0.000139,accepted=0;rejected=1;template_family_id=abstain_missing_evidence;variant=1;status=rejected;reason=evidence_too_vague
2026-04-30T23:26:00+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=530;completion=313;total=843,0.000941,accepted=0;rejected=1;template_family_id=abstain_context_mismatch;variant=1;status=rejected;reason=evidence_too_vague
2026-04-30T23:26:07+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=491;completion=190;total=681,0.000092,accepted=1;rejected=0;template_family_id=abstain_schema_fault_review;variant=1;status=accepted
2026-04-30T23:26:10+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=525;completion=286;total=811,0.000167,accepted=0;rejected=1;template_family_id=review_signal_conflict;variant=1;status=rejected;reason=evidence_too_vague
2026-04-30T23:26:15+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=532;completion=302;total=834,0.000915,accepted=0;rejected=1;template_family_id=review_competitor_gap_unknown;variant=1;status=rejected;reason=unsupported_claims:competitor
2026-04-30T23:26:25+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=511;completion=320;total=831,0.000435,accepted=1;rejected=0;template_family_id=discovery_call_grounded_send;variant=1;status=accepted
2026-04-30T23:26:27+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=519;completion=227;total=746,0.000143,accepted=1;rejected=0;template_family_id=review_bench_unknown;variant=1;status=accepted
2026-04-30T23:26:32+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=527;completion=505;total=1032,0.001421,accepted=0;rejected=1;template_family_id=outreach_context_repair;variant=1;status=rejected;reason=evidence_too_vague
2026-04-30T23:26:43+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=523;completion=502;total=1025,0.000655,accepted=0;rejected=1;template_family_id=objection_discovery_followup;variant=1;status=rejected;reason=evidence_too_vague
2026-04-30T23:26:45+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=532;completion=202;total=734,0.000134,accepted=1;rejected=0;template_family_id=review_schema_fault;variant=1;status=accepted
2026-04-30T23:26:49+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=518;completion=437;total=955,0.001248,accepted=0;rejected=1;template_family_id=send_hiring_spike_grounded;variant=2;status=rejected;reason=unsupported_claims:sdr
2026-04-30T23:28:07+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=488;completion=306;total=794,0.000112,accepted=0;rejected=1;template_family_id=send_grounded_but_generic;variant=2;status=rejected;reason=missing_required_cta
2026-04-30T23:28:11+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=522;completion=338;total=860,0.000187,accepted=1;rejected=0;template_family_id=send_market_entry_specific;variant=2;status=accepted
2026-04-30T23:28:21+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=529;completion=425;total=954,0.001221,accepted=1;rejected=0;template_family_id=send_overblock_risk_clear;variant=2;status=accepted
2026-04-30T23:28:41+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=486;completion=344;total=830,0.000135,accepted=0;rejected=1;template_family_id=exploratory_ops_strain;variant=2;status=rejected;reason=evidence_too_vague
2026-04-30T23:28:43+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=525;completion=348;total=873,0.000192,accepted=0;rejected=1;template_family_id=exploratory_ai_hint;variant=2;status=rejected;reason=evidence_too_vague
2026-04-30T23:28:54+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=524;completion=560;total=1084,0.001557,accepted=1;rejected=0;template_family_id=exploratory_sparse_signal;variant=2;status=accepted
2026-04-30T23:28:59+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=486;completion=271;total=757,0.000115,accepted=0;rejected=1;template_family_id=objection_budget_pressure;variant=2;status=rejected;reason=missing_required_cta
2026-04-30T23:29:01+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=515;completion=194;total=709,0.000129,accepted=0;rejected=1;template_family_id=abstain_missing_evidence;variant=2;status=rejected;reason=evidence_too_vague
2026-04-30T23:29:04+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=526;completion=281;total=807,0.000860,accepted=1;rejected=0;template_family_id=abstain_context_mismatch;variant=2;status=accepted
2026-04-30T23:29:42+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=491;completion=687;total=1178,0.000460,accepted=1;rejected=0;template_family_id=abstain_schema_fault_review;variant=2;status=accepted
2026-04-30T23:30:07+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=531;completion=293;total=824,0.000170,accepted=1;rejected=0;template_family_id=review_competitor_gap_unknown;variant=2;status=accepted
2026-04-30T23:30:11+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=527;completion=431;total=958,0.001236,accepted=0;rejected=1;template_family_id=review_competitor_gap_unknown;variant=2;status=rejected;reason=evidence_too_vague
2026-04-30T23:30:40+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=482;completion=457;total=939,0.000148,accepted=1;rejected=0;template_family_id=discovery_call_grounded_send;variant=2;status=accepted
2026-04-30T23:37:48+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=614;completion=442;total=1056,0.001289,accepted=0;rejected=1;template_family_id=send_hiring_spike_grounded;variant=1;status=rejected;reason=missing_required_cta
2026-04-30T23:37:56+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=568;completion=282;total=850,0.000678,accepted=1;rejected=0;template_family_id=send_grounded_but_generic;variant=1;status=accepted
2026-04-30T23:38:07+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=617;completion=353;total=970,0.000203,accepted=0;rejected=1;template_family_id=send_market_entry_specific;variant=1;status=rejected;reason=missing_required_cta
2026-04-30T23:38:10+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=625;completion=384;total=1009,0.001148,accepted=0;rejected=1;template_family_id=send_overblock_risk_clear;variant=1;status=rejected;reason=missing_required_cta
2026-04-30T23:38:17+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=560;completion=340;total=900,0.000768,accepted=0;rejected=1;template_family_id=exploratory_ops_strain;variant=1;status=rejected;reason=missing_required_cta
2026-04-30T23:38:22+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=621;completion=297;total=918,0.000181,accepted=0;rejected=1;template_family_id=exploratory_ai_hint;variant=1;status=rejected;reason=missing_required_cta
2026-04-30T23:38:33+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=621;completion=525;total=1146,0.001499,accepted=1;rejected=0;template_family_id=exploratory_sparse_signal;variant=1;status=accepted
2026-04-30T23:38:40+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=562;completion=356;total=918,0.000794,accepted=1;rejected=0;template_family_id=objection_budget_pressure;variant=1;status=accepted
2026-04-30T23:38:42+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=609;completion=206;total=815,0.000143,accepted=0;rejected=1;template_family_id=abstain_missing_evidence;variant=1;status=rejected;reason=evidence_too_vague
2026-04-30T23:38:58+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=628;completion=320;total=948,0.000988,accepted=1;rejected=0;template_family_id=abstain_context_mismatch;variant=1;status=accepted
2026-04-30T23:39:04+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=569;completion=215;total=784,0.000572,accepted=1;rejected=0;template_family_id=abstain_schema_fault_review;variant=1;status=accepted
2026-04-30T23:39:07+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=621;completion=352;total=973,0.000203,accepted=1;rejected=0;template_family_id=review_signal_conflict;variant=1;status=accepted
2026-04-30T23:39:10+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=628;completion=300;total=928,0.000938,accepted=0;rejected=1;template_family_id=review_competitor_gap_unknown;variant=1;status=rejected;reason=unsupported_claims:competitor
2026-04-30T23:39:16+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=559;completion=286;total=845,0.000681,accepted=1;rejected=0;template_family_id=discovery_call_grounded_send;variant=1;status=accepted
2026-04-30T23:39:18+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=615;completion=257;total=872,0.000164,accepted=0;rejected=1;template_family_id=review_bench_unknown;variant=1;status=rejected;reason=unsupported_claims:bench fit
2026-04-30T23:39:22+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=625;completion=521;total=1146,0.001490,accepted=0;rejected=1;template_family_id=outreach_context_repair;variant=1;status=rejected;reason=missing_required_cta
2026-04-30T23:53:11+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=557;completion=301;total=858,0.000704,accepted=1;rejected=0;template_family_id=send_hiring_spike_grounded;variant=1;status=accepted
2026-04-30T23:56:14+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=557;completion=320;total=877,0.000735,accepted=1;rejected=0;template_family_id=send_hiring_spike_grounded;variant=1;status=accepted
2026-04-30T23:56:33+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=577;completion=315;total=892,0.000465,accepted=1;rejected=0;template_family_id=send_grounded_but_generic;variant=1;status=accepted
2026-04-30T23:56:36+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=559;completion=279;total=838,0.000168,accepted=1;rejected=0;template_family_id=send_market_entry_specific;variant=1;status=accepted
2026-04-30T23:56:42+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=569;completion=304;total=873,0.000714,accepted=1;rejected=0;template_family_id=send_overblock_risk_clear;variant=1;status=accepted
2026-04-30T23:57:08+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=570;completion=380;total=950,0.000521,accepted=1;rejected=0;template_family_id=exploratory_ops_strain;variant=1;status=accepted
2026-04-30T23:57:11+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=563;completion=262;total=825,0.000161,accepted=1;rejected=0;template_family_id=exploratory_ai_hint;variant=1;status=accepted
2026-04-30T23:57:17+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=561;completion=337;total=898,0.000764,accepted=1;rejected=0;template_family_id=exploratory_sparse_signal;variant=1;status=accepted
2026-04-30T23:57:43+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=572;completion=359;total=931,0.000503,accepted=1;rejected=0;template_family_id=objection_budget_pressure;variant=1;status=accepted
2026-04-30T23:57:46+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=558;completion=222;total=780,0.000145,accepted=1;rejected=0;template_family_id=abstain_missing_evidence;variant=1;status=accepted
2026-04-30T23:57:50+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=572;completion=215;total=787,0.000573,accepted=1;rejected=0;template_family_id=abstain_context_mismatch;variant=1;status=accepted
2026-04-30T23:58:04+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=579;completion=191;total=770,0.000355,accepted=1;rejected=0;template_family_id=abstain_schema_fault_review;variant=1;status=accepted
2026-04-30T23:58:07+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=563;completion=231;total=794,0.000149,accepted=1;rejected=0;template_family_id=review_signal_conflict;variant=1;status=accepted
2026-04-30T23:58:11+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=569;completion=246;total=815,0.000621,accepted=0;rejected=1;template_family_id=review_competitor_gap_unknown;variant=1;status=rejected;reason=unsupported_claims:competitor
2026-04-30T23:58:28+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=568;completion=269;total=837,0.000421,accepted=1;rejected=0;template_family_id=discovery_call_grounded_send;variant=1;status=accepted
2026-04-30T23:58:30+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=561;completion=162;total=723,0.000121,accepted=0;rejected=1;template_family_id=review_bench_unknown;variant=1;status=rejected;reason=unsupported_claims:bench fit
2026-04-30T23:58:35+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=566;completion=364;total=930,0.000809,accepted=1;rejected=0;template_family_id=outreach_context_repair;variant=1;status=accepted
2026-05-01T00:01:30+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=557;completion=344;total=901,0.000773,accepted=1;rejected=0;template_family_id=send_hiring_spike_grounded;variant=1;status=accepted
2026-05-01T00:01:54+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=577;completion=317;total=894,0.000467,accepted=1;rejected=0;template_family_id=send_grounded_but_generic;variant=1;status=accepted
2026-05-01T00:01:57+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=559;completion=278;total=837,0.000167,accepted=0;rejected=1;template_family_id=send_market_entry_specific;variant=1;status=rejected;reason=banned_generic_phrase
2026-05-01T00:02:01+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=569;completion=299;total=868,0.000706,accepted=1;rejected=0;template_family_id=send_overblock_risk_clear;variant=1;status=accepted
2026-05-01T00:02:24+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=570;completion=311;total=881,0.000459,accepted=1;rejected=0;template_family_id=exploratory_ops_strain;variant=1;status=accepted
2026-05-01T00:02:27+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=563;completion=306;total=869,0.000179,accepted=1;rejected=0;template_family_id=exploratory_ai_hint;variant=1;status=accepted
2026-05-01T00:02:35+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=561;completion=384;total=945,0.000839,accepted=1;rejected=0;template_family_id=exploratory_sparse_signal;variant=1;status=accepted
2026-05-01T00:02:56+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=572;completion=332;total=904,0.000479,accepted=1;rejected=0;template_family_id=objection_budget_pressure;variant=1;status=accepted
2026-05-01T00:02:59+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=558;completion=176;total=734,0.000126,accepted=1;rejected=0;template_family_id=abstain_missing_evidence;variant=1;status=accepted
2026-05-01T00:03:07+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=572;completion=235;total=807,0.000605,accepted=1;rejected=0;template_family_id=abstain_context_mismatch;variant=1;status=accepted
2026-05-01T00:03:21+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=579;completion=208;total=787,0.000370,accepted=1;rejected=0;template_family_id=abstain_schema_fault_review;variant=1;status=accepted
2026-05-01T00:03:23+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=563;completion=176;total=739,0.000127,accepted=1;rejected=0;template_family_id=review_signal_conflict;variant=1;status=accepted
2026-05-01T00:03:31+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=569;completion=235;total=804,0.000604,accepted=1;rejected=0;template_family_id=review_competitor_gap_unknown;variant=1;status=accepted
2026-05-01T00:03:47+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=568;completion=296;total=864,0.000445,accepted=1;rejected=0;template_family_id=discovery_call_grounded_send;variant=1;status=accepted
2026-05-01T00:03:51+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=561;completion=202;total=763,0.000137,accepted=1;rejected=0;template_family_id=review_bench_unknown;variant=1;status=accepted
2026-05-01T00:03:56+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=566;completion=387;total=953,0.000846,accepted=1;rejected=0;template_family_id=outreach_context_repair;variant=1;status=accepted
2026-05-01T00:05:00+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=557;completion=302;total=859,0.000706,accepted=1;rejected=0;template_family_id=send_hiring_spike_grounded;variant=1;status=accepted
2026-05-01T00:05:23+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=577;completion=329;total=906,0.000477,accepted=1;rejected=0;template_family_id=send_grounded_but_generic;variant=1;status=accepted
2026-05-01T00:05:27+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=559;completion=281;total=840,0.000168,accepted=1;rejected=0;template_family_id=send_market_entry_specific;variant=1;status=accepted
2026-05-01T00:05:32+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=569;completion=316;total=885,0.000733,accepted=1;rejected=0;template_family_id=send_overblock_risk_clear;variant=1;status=accepted
2026-05-01T00:05:53+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=570;completion=321;total=891,0.000468,accepted=1;rejected=0;template_family_id=exploratory_ops_strain;variant=1;status=accepted
2026-05-01T00:05:55+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=563;completion=277;total=840,0.000167,accepted=1;rejected=0;template_family_id=exploratory_ai_hint;variant=1;status=accepted
2026-05-01T00:06:00+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=561;completion=362;total=923,0.000804,accepted=1;rejected=0;template_family_id=exploratory_sparse_signal;variant=1;status=accepted
2026-05-01T00:06:23+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=572;completion=344;total=916,0.000489,accepted=1;rejected=0;template_family_id=objection_budget_pressure;variant=1;status=accepted
2026-05-01T00:06:26+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=558;completion=195;total=753,0.000134,accepted=1;rejected=0;template_family_id=abstain_missing_evidence;variant=1;status=accepted
2026-05-01T00:06:32+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=572;completion=239;total=811,0.000611,accepted=1;rejected=0;template_family_id=abstain_context_mismatch;variant=1;status=accepted
2026-05-01T00:06:46+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=579;completion=203;total=782,0.000366,accepted=1;rejected=0;template_family_id=abstain_schema_fault_review;variant=1;status=accepted
2026-05-01T00:06:49+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=563;completion=218;total=781,0.000143,accepted=1;rejected=0;template_family_id=review_signal_conflict;variant=1;status=accepted
2026-05-01T00:06:53+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=569;completion=247;total=816,0.000623,accepted=1;rejected=0;template_family_id=review_competitor_gap_unknown;variant=1;status=accepted
2026-05-01T00:07:15+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=568;completion=264;total=832,0.000417,accepted=1;rejected=0;template_family_id=discovery_call_grounded_send;variant=1;status=accepted
2026-05-01T00:07:18+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=561;completion=211;total=772,0.000140,accepted=1;rejected=0;template_family_id=review_bench_unknown;variant=1;status=accepted
2026-05-01T00:07:24+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=566;completion=440;total=1006,0.000930,accepted=1;rejected=0;template_family_id=outreach_context_repair;variant=1;status=accepted
2026-05-01T00:07:50+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=578;completion=358;total=936,0.000504,accepted=1;rejected=0;template_family_id=objection_discovery_followup;variant=1;status=accepted
2026-05-01T00:07:52+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=572;completion=187;total=759,0.000132,accepted=1;rejected=0;template_family_id=review_schema_fault;variant=1;status=accepted
2026-05-01T00:07:59+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=558;completion=306;total=864,0.000713,accepted=1;rejected=0;template_family_id=send_hiring_spike_grounded;variant=2;status=accepted
2026-05-01T00:08:15+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=575;completion=268;total=843,0.000423,accepted=1;rejected=0;template_family_id=send_grounded_but_generic;variant=2;status=accepted
2026-05-01T00:08:19+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=558;completion=297;total=855,0.000175,accepted=1;rejected=0;template_family_id=send_market_entry_specific;variant=2;status=accepted
2026-05-01T00:08:23+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=569;completion=313;total=882,0.000728,accepted=1;rejected=0;template_family_id=send_overblock_risk_clear;variant=2;status=accepted
2026-05-01T00:08:37+03:00,dataset_llm_synthesis,LLM task generation,deepseek/deepseek-chat,prompt=569;completion=307;total=876,0.000455,accepted=1;rejected=0;template_family_id=exploratory_ops_strain;variant=2;status=accepted
2026-05-01T00:08:40+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-nano,prompt=563;completion=255;total=818,0.000158,accepted=1;rejected=0;template_family_id=exploratory_ai_hint;variant=2;status=accepted
2026-05-01T00:08:47+03:00,dataset_llm_synthesis,LLM task generation,openai/gpt-4.1-mini,prompt=561;completion=304;total=865,0.000711,accepted=1;rejected=0;template_family_id=exploratory_sparse_signal;variant=2;status=accepted
